code;label;parent
01;Certaines maladies infectieuses et parasitaires;
02;Tumeurs;
03;Maladies du sang et des organes hématopoïétiques et certains troubles du système immunitaire;
04;Maladies endocriniennes, nutritionnelles et métaboliques;
05;Troubles mentaux et du comportement;
06;Maladies du système nerveux;
07;Maladies de l'œil et de ses annexes;
08;Maladies de l'oreille et de l'apophyse mastoïde;
09;Maladies de l'appareil circulatoire;
10;Maladies de l'appareil respiratoire;
11;Maladies de l'appareil digestif;
12;Maladies de la peau et du tissu cellulaire souscutané;
13;Maladies du système ostéoarticulaire, des muscles et du tissu conjonctif;
14;Maladies de l'appareil génito-urinaire;
15;Grossesse, accouchement et puerpéralité;
16;Certaines affections dont l'origine se situe dans la période périnatale;
17;Malformations congénitales et anomalies chromosomiques;
18;Symptômes, signes et résultats anormaux d'examens cliniques et de laboratoire, non classés ailleurs;
19;Lésions traumatiques, empoisonnements et certaines autres conséquences de causes externes;
20;Causes externes de morbidité et de mortalité;
21;Facteurs influant sur l'état de santé et motifs de recours aux services de santé;
22;Codes d’utilisation particulière;
A00-A09;Maladies intestinales infectieuses;01
A00;Choléra;A00-A09
A00.0;À Vibrio cholerae 01, biovar cholerae;A00
A00.1;À Vibrio cholerae 01, biovar El Tor;A00
A00.9;Choléra, sans précision;A00
A01;Fièvres typhoïde et paratyphoïde;A00-A09
A01.0;Fièvre typhoïde;A01
A01.1;Paratyphoïde A;A01
A01.2;Paratyphoïde B;A01
A01.3;Paratyphoïde C;A01
A01.4;Paratyphoïde, sans précision;A01
A02;Autres salmonelloses;A00-A09
A02.0;Entérite à Salmonella;A02
A02.1;Sepsis  à Salmonella;A02
A02.2;Infection localisée à Salmonella;A02
A02.8;Autres infections précisées à Salmonella;A02
A02.9;Salmonellose, sans précision;A02
A03;Shigellose;A00-A09
A03.0;Shigellose à Shigella dysenteriae;A03
A03.1;Shigellose à Shigella flexneri;A03
A03.2;Shigellose à Shigella boydii;A03
A03.3;Shigellose à Shigella sonnei;A03
A03.8;Autres shigelloses;A03
A03.9;Shigellose, sans précision;A03
A04;Autres infections intestinales bactériennes;A00-A09
A04.0;Infection entéropathogène à Escherichia coli;A04
A04.1;Infection entérotoxigène à Escherichia coli;A04
A04.2;Infection entéro-invasive à Escherichia coli;A04
A04.3;Infection entérohémorragique à Escherichia coli;A04
A04.4;Autres infections intestinales à Escherichia coli;A04
A04.5;Entérite à Campylobacter;A04
A04.6;Entérite à Yersinia enterocolitica;A04
A04.7;Entérocolite à Clostridium difficile;A04
A04.8;Autres infections intestinales bactériennes précisées;A04
A04.9;Infection intestinale bactérienne, sans précision;A04
A05;Autres intoxications bactériennes d'origine alimentaire, non classées ailleurs;A00-A09
A05.0;Intoxication alimentaire à staphylocoques;A05
A05.1;Botulisme;A05
A05.2;Intoxication alimentaire à Clostridium perfringens [Clostridium welchii];A05
A05.3;Intoxication alimentaire à Vibrio parahaemolyticus;A05
A05.4;Intoxication alimentaire à Bacillus cereus;A05
A05.8;Autres intoxications bactériennes d'origine alimentaire précisées;A05
A05.9;Intoxication bactérienne d'origine alimentaire, sans précision;A05
A06;Amibiase;A00-A09
A06.0;Dysenterie amibienne aigüe;A06
A06.1;Amibiase intestinale chronique;A06
A06.2;Colite amibienne non dysentérique;A06
A06.3;Amœbome de l'intestin;A06
A06.4;Abcès amibien du foie;A06
A06.5;Abcès amibien du poumon;A06
A06.6;Abcès amibien du cerveau;A06
A06.7;Amibiase cutanée;A06
A06.8;Autres localisations d'une infection amibienne;A06
A06.9;Amibiase, sans précision;A06
A07;Autres maladies intestinales à protozoaires;A00-A09
A07.0;Balantidiose;A07
A07.1;Giardiase [lambliase];A07
A07.2;Cryptosporidiose;A07
A07.3;Infection à Isospora;A07
A07.8;Autres maladies intestinales précisées, à protozoaires;A07
A07.9;Maladie intestinale à protozoaires, sans précision;A07
A08;Infections virales intestinales et autres infections intestinales précisées;A00-A09
A08.0;Entérite à rotavirus;A08
A08.1;Gastroentéropathie aigüe due à un norovirus;A08
A08.2;Entérite à adénovirus;A08
A08.3;Autres entérites virales;A08
A08.4;Infections intestinales virales, sans précision;A08
A08.5;Autres infections intestinales précisées;A08
A09;Autres gastroentérites et colites d'origine infectieuse et non précisée;A00-A09
A09.0;Gastroentérites et colites d’origine infectieuse, autres et non précisées;A09
A09.9;Gastroentérite et colite d’origine non précisée;A09
A15-A19;Tuberculose;01
A15;Tuberculose de l'appareil respiratoire, avec confirmation bactériologique et histologique;A15-A19
A15.0;Tuberculose pulmonaire, confirmée par examen microscopique de l'expectoration, avec ou sans culture;A15
A15.1;Tuberculose pulmonaire, confirmée par culture seulement;A15
A15.2;Tuberculose pulmonaire, avec confirmation histologique;A15
A15.3;Tuberculose pulmonaire, avec confirmation, moyen non précisé;A15
A15.4;Tuberculose des ganglions intrathoraciques, avec confirmation bactériologique et histologique;A15
